id_full,trt_amf,trt_fert,trt_light,id_number,,,,barcodes
AM_14N_shade_1,AM,14N,shade,1,,,*,*AM-14N-shade-1*
AM_14N_shade_2,AM,14N,shade,2,,,*,*AM-14N-shade-2*
AM_14N_shade_3,AM,14N,shade,3,,,*,*AM-14N-shade-3*
AM_14N_shade_4,AM,14N,shade,4,,,*,*AM-14N-shade-4*
AM_14N_shade_5,AM,14N,shade,5,,,*,*AM-14N-shade-5*
AM_15N_shade_6,AM,15N,shade,6,,,*,*AM-15N-shade-6*
AM_15N_shade_7,AM,15N,shade,7,,,*,*AM-15N-shade-7*
AM_15N_shade_8,AM,15N,shade,8,,,*,*AM-15N-shade-8*
AM_15N_shade_9,AM,15N,shade,9,,,*,*AM-15N-shade-9*
AM_15N_shade_10,AM,15N,shade,10,,,*,*AM-15N-shade-10*
AM_14N_sun_11,AM,14N,sun,11,,,*,*AM-14N-sun-11*
AM_14N_sun_12,AM,14N,sun,12,,,*,*AM-14N-sun-12*
AM_14N_sun_13,AM,14N,sun,13,,,*,*AM-14N-sun-13*
AM_14N_sun_14,AM,14N,sun,14,,,*,*AM-14N-sun-14*
AM_14N_sun_15,AM,14N,sun,15,,,*,*AM-14N-sun-15*
AM_15N_sun_16,AM,15N,sun,16,,,*,*AM-15N-sun-16*
AM_15N_sun_17,AM,15N,sun,17,,,*,*AM-15N-sun-17*
AM_15N_sun_18,AM,15N,sun,18,,,*,*AM-15N-sun-18*
AM_15N_sun_19,AM,15N,sun,19,,,*,*AM-15N-sun-19*
AM_15N_sun_20,AM,15N,sun,20,,,*,*AM-15N-sun-20*
NM_14N_shade_21,NM,14N,shade,21,,,*,*NM-14N-shade-21*
NM_14N_shade_22,NM,14N,shade,22,,,*,*NM-14N-shade-22*
NM_14N_shade_23,NM,14N,shade,23,,,*,*NM-14N-shade-23*
NM_14N_shade_24,NM,14N,shade,24,,,*,*NM-14N-shade-24*
NM_14N_shade_25,NM,14N,shade,25,,,*,*NM-14N-shade-25*
NM_15N_shade_26,NM,15N,shade,26,,,*,*NM-15N-shade-26*
NM_15N_shade_27,NM,15N,shade,27,,,*,*NM-15N-shade-27*
NM_15N_shade_28,NM,15N,shade,28,,,*,*NM-15N-shade-28*
NM_15N_shade_29,NM,15N,shade,29,,,*,*NM-15N-shade-29*
NM_15N_shade_30,NM,15N,shade,30,,,*,*NM-15N-shade-30*
NM_14N_sun_31,NM,14N,sun,31,,,*,*NM-14N-sun-31*
NM_14N_sun_32,NM,14N,sun,32,,,*,*NM-14N-sun-32*
NM_14N_sun_33,NM,14N,sun,33,,,*,*NM-14N-sun-33*
NM_14N_sun_34,NM,14N,sun,34,,,*,*NM-14N-sun-34*
NM_14N_sun_35,NM,14N,sun,35,,,*,*NM-14N-sun-35*
NM_15N_sun_36,NM,15N,sun,36,,,*,*NM-15N-sun-36*
NM_15N_sun_37,NM,15N,sun,37,,,*,*NM-15N-sun-37*
NM_15N_sun_38,NM,15N,sun,38,,,*,*NM-15N-sun-38*
NM_15N_sun_39,NM,15N,sun,39,,,*,*NM-15N-sun-39*
NM_15N_sun_40,NM,15N,sun,40,,,*,*NM-15N-sun-40*
